frame_idx,timestamp,mic_rms,mic_peak,ref_rms,ref_peak,ref_is_silence,delay_samples,delay_ms,is_double_talk,nlms_residual_rms,echo_est_rms,nls_output_rms,nls_bypassed,erle_instant_db,filter_norm,process_time_ms
8,1774518048.7730,0.00049683,0.001984,0.00028974,0.001404,0,1035,64.69,1,0.00049683,0.00000000,0.00049683,1,-0.00,0.000000,5.930
9,1774518048.8440,0.00054179,0.001617,0.00009240,0.000366,0,1035,64.69,1,0.00054179,0.00000000,0.00049661,0,0.75,0.000000,7.236
10,1774518048.9029,0.00040994,0.001343,0.00004565,0.000183,0,1035,64.69,1,0.00040994,0.00000000,0.00040994,1,-0.00,0.000000,6.311
11,1774518048.9725,0.00042304,0.001343,0.00005461,0.000183,0,359,22.44,1,0.00042304,0.00000000,0.00040973,0,0.28,0.000000,6.105
12,1774518049.0334,0.00041121,0.001434,0.00003293,0.000153,0,359,22.44,1,0.00041121,0.00000000,0.00041121,1,-0.00,0.000000,5.643
13,1774518049.0928,0.00052001,0.001923,0.00002025,0.000092,0,359,22.44,1,0.00052001,0.00000000,0.00041099,0,2.04,0.000000,5.621
14,1774518049.1620,0.00066531,0.001892,0.00002538,0.000153,0,359,22.44,1,0.00066531,0.00000000,0.00051978,0,2.14,0.000000,5.867
15,1774518049.2241,0.00045637,0.001373,0.00003010,0.000153,0,359,22.44,1,0.00045637,0.00000000,0.00045637,1,-0.00,0.000000,6.830
16,1774518049.2922,0.00039363,0.001129,0.00012972,0.000458,0,359,22.44,1,0.00039363,0.00000000,0.00039363,1,-0.00,0.000000,5.693
17,1774518049.3525,0.00044571,0.001251,0.00067629,0.002533,0,359,22.44,1,0.00044571,0.00000000,0.00039344,0,1.08,0.000000,5.474
18,1774518049.4139,0.00058563,0.001892,0.00135612,0.003204,0,359,22.44,1,0.00058563,0.00000000,0.00044545,0,2.37,0.000000,6.240
19,1774518049.4962,0.00070360,0.001892,0.00125382,0.003174,0,0,0.00,0,0.00014814,0.00069164,0.00014814,1,13.51,0.059536,19.567
20,1774518049.5553,0.00071105,0.002197,0.00100684,0.003082,0,0,0.00,0,0.00018242,0.00070193,0.00009751,0,17.21,0.064531,18.684
21,1774518049.6250,0.00038308,0.001221,0.00111939,0.006165,0,0,0.00,0,0.00012426,0.00037388,0.00007268,0,14.36,0.067351,18.480
22,1774518049.6852,0.00053443,0.002167,0.22956194,0.992859,0,0,0.00,0,0.00144344,0.00154830,0.00005868,0,19.06,0.065781,18.474
23,1774518049.7461,0.00073657,0.002228,0.27383635,0.994049,0,0,0.00,0,0.00863909,0.00866285,0.00106727,0,-3.22,0.060744,18.594
